player,serve_total,serve_aces,serve_unret,serve_sp1,serve_ace_rate,serve_unret_rate,serve_sp1_rate,serve_SE,ret_total,ret_wins,ret_unf,ret_win_rate,ret_err_rate,rp1_total,rp1_pts,rp1_rate,pts_total,pts_won,net_total,net_won,press_total,press_won,rally_avg,pct_pts_won,pct_net_won,pct_pressure_won,pr_count,pr_win,pr_for,pr_unf,pct_pr_win,pct_pr_for,pct_pr_unf,od_plays,od_wins,od_ue,od_win_rate,od_ue_rate,od_ratio,slice_plays,slice_succ,slice_eff,drop_plays,drop_succ,drop_eff
Alexander Zverev,16385,1268,559,808,7.738785474519378,3.4116570033567286,4.931339639914556,16.081782117790663,11331,105,400,0.9266613714588298,3.530138557938399,11331,493,4.350895772659077,12595,5081,2077,930,2604,1053,3.673441842000794,40.34140531957126,44.776119402985074,40.43778801843318,2604,751,905,747,28.840245775729645,34.754224270353305,28.68663594470046,5673.0,3959.0,1714.0,69.78670897232504,30.213291027674952,2.3098016336056006,2103.0,369.0,17.546362339514978,252.0,85.0,33.73015873015873
Andre Agassi,22952,864,95,931,3.7643778319972117,0.4139072847682119,4.056291390728477,8.234576507493902,14230,580,707,4.075895994378074,4.968376669009135,14230,1325,9.311314125087842,17009,7415,2456,1163,4102,1818,3.7168557822329356,43.594567581868425,47.35342019543974,44.31984397854705,4102,1157,1407,1307,28.205753291077524,34.30034129692833,31.862506094588007,6897.0,4894.0,2003.0,70.9583877047992,29.04161229520081,2.4433349975037446,1680.0,290.0,17.261904761904763,192.0,68.0,35.416666666666664
Andrey Rublev,15704,1093,841,763,6.96001018848701,5.3553234844625575,4.858634742740703,17.17396841569027,9257,211,425,2.2793561629037487,4.591120233336934,9257,669,7.226963379064491,11494,5507,1006,509,2475,1219,3.5114842526535583,47.91195406298939,50.59642147117296,49.25252525252525,2475,677,845,803,27.353535353535353,34.14141414141414,32.44444444444444,4688.0,3328.0,1360.0,70.98976109215018,29.01023890784983,2.447058823529412,2026.0,322.0,15.893385982230997,64.0,12.0,18.75
Andy Murray,28861,1594,248,998,5.523024150237345,0.8592910848549946,3.4579536398600186,9.840268874952358,18672,286,607,1.5317052270779776,3.2508568980291344,18672,1039,5.564481576692374,20840,10027,3485,1724,4931,2350,4.265451055662188,48.11420345489444,49.46915351506456,47.65767592780369,4931,1439,1584,1622,29.18272155749341,32.12330156154938,32.893936321233014,10417.0,7124.0,3293.0,68.38821157722953,31.61178842277047,2.1633768600060734,5744.0,930.0,16.190807799442897,800.0,322.0,40.25
Boris Becker,18251,1264,111,844,6.925647909703578,0.6081858528299819,4.624404142238782,12.158237904772342,11423,534,668,4.674778954740436,5.8478508272782985,11423,1166,10.207476144620502,13054,6086,4550,2179,2905,1313,2.4944078443389,46.62172514171901,47.89010989010989,45.197934595524956,2905,1104,1025,574,38.003442340791736,35.28399311531842,19.759036144578314,2613.0,2020.0,593.0,77.30577879831611,22.694221201683888,3.406408094435076,2247.0,390.0,17.356475300400533,77.0,38.0,49.35064935064935
Carlos Alcaraz,15885,530,325,1003,3.3364809568775575,2.045955303745672,6.314132829713566,11.696569090336796,11407,183,644,1.6042780748663101,5.6456561760322606,11407,757,6.636275970895064,11927,5215,2450,1160,2617,1139,3.658086694055504,43.72432296470193,47.3469387755102,43.523118074130686,2617,722,920,835,27.588842185708828,35.15475735575086,31.906763469621705,5494.0,4037.0,1457.0,73.48016017473607,26.519839825263926,2.7707618393960187,2544.0,539.0,21.187106918238992,1035.0,353.0,34.106280193236714
Daniil Medvedev,25692,1900,684,1017,7.395298147283201,2.6623073330219524,3.958430639887903,14.016036120193055,16985,182,537,1.071533706211363,3.1616131881071534,16985,779,4.586399764498086,18858,7812,2902,1314,4326,1855,4.001219641531446,41.42538975501114,45.279117849758784,42.88025889967638,4326,1261,1416,1290,29.149329634766527,32.73231622746186,29.819694868238557,10361.0,6851.0,3510.0,66.12296110414053,33.87703889585947,1.951851851851852,2264.0,348.0,15.371024734982333,701.0,236.0,33.66619115549216
Dominic Thiem,19240,936,277,1075,4.864864864864865,1.4397089397089398,5.587318087318088,11.891891891891891,12270,114,519,0.9290953545232273,4.229828850855745,12270,525,4.278728606356968,14071,6495,2085,998,3254,1530,3.6014497903489446,46.15876625684031,47.86570743405276,47.01905347264905,3254,979,1008,1061,30.086047940995698,30.977258758451136,32.6060233558697,5953.0,4229.0,1724.0,71.03981185956661,28.960188140433395,2.453016241299304,4698.0,801.0,17.049808429118773,510.0,174.0,34.11764705882353
Gael Monfils,13677,878,195,609,6.419536448051473,1.4257512612415004,4.452730862031147,12.298018571324121,8755,97,368,1.1079383209594518,4.203312392918332,8755,380,4.340376927470017,10016,4936,1504,740,2534,1254,3.8010183706070286,49.281150159744406,49.202127659574465,49.48697711128651,2534,749,836,749,29.558011049723756,32.991318074191,29.558011049723756,4412.0,2968.0,1444.0,67.2710788757933,32.72892112420671,2.055401662049862,1928.0,332.0,17.219917012448132,335.0,136.0,40.59701492537314
Grigor Dimitrov,16259,987,402,760,6.070484039608832,2.4724767820899194,4.674334214896365,13.217295036595118,10152,145,438,1.4282899921197794,4.314420803782506,10152,505,4.974389282899921,11972,6819,1553,886,2649,1488,3.696625459405279,56.95790177079853,57.05086928525434,56.17214043035108,2649,682,897,909,25.74556436391091,33.86183465458664,34.314835787089464,5081.0,3547.0,1534.0,69.80909269828774,30.19090730171226,2.3122555410691006,4564.0,755.0,16.54250657318142,161.0,48.0,29.81366459627329
Hubert Hurkacz,31691,3200,114,1622,10.097504023224259,0.3597235808273642,5.118172351771796,15.575399955823418,20773,283,1069,1.3623453521397968,5.146103114619939,20773,848,4.082222115245751,23478,13631,3966,2181,4642,2740,3.0015759434364084,58.05860805860806,54.99243570347958,59.02628177509694,4642,1573,1410,1306,33.88625592417062,30.37483843171047,28.134424816889272,7930.0,5478.0,2452.0,69.07944514501891,30.920554854981084,2.234094616639478,4219.0,749.0,17.753022043138184,788.0,244.0,30.96446700507614
Ivan Lendl,16223,786,28,676,4.844973186217099,0.1725944646489552,4.166923503667633,9.184491154533687,10250,498,482,4.8585365853658535,4.702439024390244,10250,967,9.434146341463414,11598,4609,3009,1350,2721,1135,4.06018279013623,39.73961027763408,44.8654037886341,41.71260565968394,2721,887,893,792,32.59830944505696,32.81881661153987,29.10694597574421,4454.0,3151.0,1303.0,70.74539739559945,29.25460260440054,2.4182655410590943,3434.0,549.0,15.987186953989516,112.0,41.0,36.607142857142854
Jannik Sinner,21207,1167,274,950,5.502899985853728,1.2920262177582873,4.479652944782383,11.274579148394398,13853,178,478,1.2849202338843573,3.4505161336894536,13853,803,5.796578358478308,15325,7371,1990,1008,3316,1599,3.9333115823817293,48.0978792822186,50.653266331658294,48.22074788902292,3316,880,1077,1152,26.537997587454765,32.4788902291918,34.74065138721351,7445.0,5244.0,2201.0,70.43653458697112,29.56346541302888,2.3825533848250795,1676.0,304.0,18.13842482100239,458.0,129.0,28.16593886462882
Juan Martin Del Potro,13969,988,149,679,7.0728040661464675,1.0666475767771495,4.860763118333453,13.00021476125707,8833,109,314,1.2340088305219066,3.5548511264576024,8833,429,4.85678704856787,10411,4016,1123,548,2193,875,3.691384112957449,38.57458457400826,48.79786286731968,39.89968080255358,2193,686,721,641,31.281349749202008,32.87733698130415,29.22936616507068,4429.0,3098.0,1331.0,69.94806954165726,30.051930458342742,2.327573253193088,2530.0,421.0,16.640316205533598,169.0,46.0,27.218934911242602
Lleyton Hewitt,16006,802,218,520,5.010621017118581,1.361989254029739,3.2487817068599276,9.621391978008248,9565,235,390,2.4568740198640877,4.07736539466806,9565,560,5.854678515420805,11070,4511,1335,507,2615,994,4.195212285456188,40.74977416440831,37.97752808988764,38.01147227533461,2615,732,848,822,27.992351816443595,32.4282982791587,31.434034416826005,5464.0,3737.0,1727.0,68.39311859443632,31.60688140556369,2.1638679791546034,1953.0,322.0,16.487455197132615,67.0,18.0,26.865671641791046
