id,name,total_serves,total_aces,total_unret,total_sp1,ace_rate,unret_rate,sp1_rate,serve_eff
0,Giovanni Mpetshi Perricard,974,175,80,61,17.967145790554415,8.213552361396303,6.262833675564682,32.44
1,Luca Vanni,127,11,18,5,8.661417322834646,14.173228346456693,3.937007874015748,26.77
2,Johannes Haerteis,123,25,0,7,20.32520325203252,0.0,5.691056910569106,26.02
3,Ante Pavic,109,16,6,6,14.678899082568808,5.504587155963303,5.504587155963303,25.69
4,Reilly Opelka,5037,804,158,320,15.961882072662299,3.1367877704983127,6.352987889616835,25.45
5,Hamad Medjedovic,202,21,18,10,10.396039603960396,8.910891089108912,4.9504950495049505,24.26
6,John Isner,9677,1410,200,696,14.570631394027075,2.066756226103131,7.192311666838896,23.83
7,Nicolas Jarry,4378,308,403,320,7.035175879396985,9.205116491548653,7.3092736409319325,23.55
8,Nick Kyrgios,12028,1507,561,682,12.529098769537745,4.664117060192884,5.670103092783505,22.86
9,Quentin Halys,1037,122,48,64,11.764705882352942,4.628736740597878,6.171648987463838,22.57
10,Ulises Blanch,67,10,0,5,14.925373134328359,0.0,7.462686567164179,22.39
11,Michael Redlicki,92,15,1,4,16.304347826086957,1.0869565217391304,4.3478260869565215,21.74
12,Milos Raonic,8566,1032,221,594,12.047630165771656,2.579967312631333,6.934391781461592,21.56
13,Daniel Vacek,110,13,2,8,11.818181818181818,1.8181818181818181,7.2727272727272725,20.91
14,Dylan Dietrich,68,9,2,3,13.235294117647058,2.9411764705882355,4.411764705882353,20.59
15,Paul Annacone,151,24,2,4,15.894039735099337,1.3245033112582782,2.6490066225165565,19.87
16,Joshua Sheehy,71,8,2,4,11.267605633802816,2.816901408450704,5.633802816901408,19.72
17,Joachim Johansson,137,17,4,6,12.408759124087592,2.9197080291970803,4.37956204379562,19.71
18,Christopher Eubanks,1521,92,76,127,6.0486522024983564,4.996712689020382,8.349769888231426,19.4
19,Ivo Karlovic,3870,406,48,283,10.490956072351421,1.2403100775193798,7.31266149870801,19.04
20,Jiri Lehecka,3803,236,257,230,6.205627136471207,6.757822771496187,6.047856955035498,19.01
21,Alex Kuznetsov,69,4,6,3,5.797101449275362,8.695652173913043,4.3478260869565215,18.84
22,Arthur Fils,3878,239,292,194,6.162970603403816,7.529654461062403,5.0025786487880355,18.7
23,Goran Ivanisevic,6109,793,4,312,12.980847929284662,0.06547716483876248,5.107218857423473,18.15
24,Kevin Anderson,3040,326,73,152,10.723684210526315,2.401315789473684,5.0,18.12
25,Tim Van Rijthoven,1816,205,5,119,11.288546255506608,0.2753303964757709,6.552863436123348,18.12
26,Gabriel Diallo,381,34,14,21,8.923884514435695,3.674540682414698,5.511811023622047,18.11
27,Alexander Bublik,7032,662,266,342,9.41410693970421,3.782707622298066,4.863481228668942,18.06
28,Karlis Ozolins,72,11,1,1,15.277777777777779,1.3888888888888888,1.3888888888888888,18.06
29,Matteo Berrettini,7883,725,194,484,9.197006215907649,2.4609920081187364,6.139794494481796,17.8
30,Bernard Tomic,2771,226,127,138,8.155900396968603,4.583182966438109,4.980151569830386,17.72
31,N Sriram Balaji,68,11,0,1,16.176470588235293,0.0,1.4705882352941178,17.65
32,Gilles Muller,1525,108,22,139,7.081967213114754,1.4426229508196722,9.114754098360656,17.64
33,Jan Kumstat,182,23,1,8,12.637362637362637,0.5494505494505495,4.395604395604396,17.58
34,Arthur Rinderknech,1204,95,46,70,7.8903654485049834,3.820598006644518,5.813953488372093,17.52
35,Mark Philippoussis,2362,250,7,156,10.584250635055039,0.29635901778154106,6.604572396274344,17.49
36,Sam Querrey,2479,291,25,115,11.738604275917709,1.008471157724889,4.63896732553449,17.39
37,Derrick Rostagno,139,12,1,11,8.633093525179856,0.7194244604316546,7.913669064748201,17.27
38,Albano Olivetti,93,11,0,5,11.827956989247312,0.0,5.376344086021505,17.2
39,Andrey Rublev,15704,1093,841,763,6.96001018848701,5.3553234844625575,4.858634742740703,17.17
40,Taylor Fritz,9754,796,409,469,8.16075456223088,4.193151527578429,4.808283781012918,17.16
41,Eduardo Struvay,76,7,0,6,9.210526315789474,0.0,7.894736842105263,17.11
42,Denis Shapovalov,8757,580,303,612,6.62327281032317,3.460089071599863,6.988694758478931,17.07
43,Danilo Petrovic,94,7,0,9,7.446808510638298,0.0,9.574468085106384,17.02
44,Kevin Krawietz,59,1,0,9,1.694915254237288,0.0,15.254237288135593,16.95
45,Roscoe Tanner,130,12,0,10,9.23076923076923,0.0,7.6923076923076925,16.92
46,Richard Krajicek,3449,360,14,209,10.437808060307335,0.4059147579008408,6.059727457233981,16.9
47,Chris Woodruff,262,33,0,11,12.595419847328245,0.0,4.198473282442748,16.79
48,Ben Shelton,3005,246,96,161,8.186356073211314,3.194675540765391,5.357737104825291,16.74
49,Antoine Escoffier,180,18,6,6,10.0,3.3333333333333335,3.3333333333333335,16.67
50,Zizou Bergs,739,64,19,40,8.660351826792963,2.571041948579161,5.412719891745602,16.64
51,Emilio Nava,512,35,12,38,6.8359375,2.34375,7.421875,16.6
52,Ugo Humbert,4156,235,237,210,5.654475457170356,5.702598652550529,5.0529355149181905,16.41
53,Titouan Droguet,55,6,0,3,10.909090909090908,0.0,5.454545454545454,16.36
54,Felix Auger Aliassime,9015,770,266,438,8.541320022185246,2.9506378258458126,4.858569051580699,16.35
55,Jan Lennard Struff,4465,343,131,254,7.681970884658455,2.9339305711086228,5.688689809630459,16.3
